"","V1","V2"
"row.add","0000","0.00482759971799482"
"row.add","0001","0.0170707478839245"
"row.add","0010","0.0114994080542965"
"row.add","0011","0.0207911537489872"
"row.add","0100","0.00972761725339828"
"row.add","0101","0.017995069739655"
"row.add","0110","0.0162136568903448"
"row.add","0111","0.0226623479359918"
"row.add","1000","0.00201252095673833"
"row.add","1001","0.00900999690013533"
"row.add","1010","0.00598563204890418"
"row.add","1011","0.015044552181499"
"row.add","1100","0.00413198719099217"
"row.add","1101","0.0111581975822907"
"row.add","1110","0.00841283735403795"
"row.add","1111","0.0131207470182165"
"row.add","2000","0.00162678393863177"
"row.add","2001","0.00295175222156218"
"row.add","2010","0.00277531739337028"
"row.add","2011","0.00422134304426727"
"row.add","2100","0.00336004062601207"
"row.add","2101","0.0050337939007664"
"row.add","2110","0.00540047251826407"
"row.add","2111","0.00746887613195778"
"row.add","3000","0"
